Family,Genus,beta.statussc,beta.age,se.statussc,se.age,W.statussc,W.age,p.statussc,p.age,q.statussc,q.age,structural_zero (status = nc),structural_zero (status = sc)
Turicibacteraceae,Turicibacter,0.0436,-0.00168,0.304,0.00848,0.144,-0.198,0.886,0.843,0.934,0.923,No,No
[Mogibacteriaceae],Mogibacterium,1.03,0.00683,0.303,0.00868,3.41,0.788,6.42e-4,0.431,0.0186,0.592,No,No
Clostridiaceae,02d06,-0.122,-0.0128,0.286,0.00857,-0.428,-1.49,0.669,0.136,0.776,0.263,No,No
NA,Clostridium,-0.293,-0.00131,0.358,0.01,-0.818,-0.131,0.413,0.896,0.702,0.952,No,No
Clostridiaceae,SMB53,-0.0583,0.00187,0.263,0.00734,-0.222,0.255,0.824,0.799,0.888,0.891,No,No
Dehalobacteriaceae,Dehalobacterium,-0.136,-0.0139,0.169,0.00511,-0.806,-2.72,0.42,0.00658,0.702,0.0273,No,No
Lachnospiraceae,[Ruminococcus],0.634,0.018,0.251,0.0069,2.52,2.61,0.0116,0.009,0.152,0.0348,No,No
Lachnospiraceae,Anaerostipes,-0.642,-0.00541,0.265,0.00748,-2.42,-0.723,0.0154,0.47,0.152,0.605,No,No
Lachnospiraceae,Blautia,0.178,0.0142,0.223,0.00621,0.801,2.29,0.423,0.0221,0.702,0.0642,No,No
Lachnospiraceae,Butyrivibrio,-0.489,-0.0128,0.423,0.0122,-1.16,-1.05,0.248,0.293,0.575,0.472,No,No
Lachnospiraceae,Coprococcus,0.142,0.00346,0.174,0.00468,0.815,0.739,0.415,0.46,0.702,0.605,No,No
Lachnospiraceae,Dorea,0.48,0.0228,0.277,0.00754,1.73,3.02,0.0835,0.0025,0.346,0.0181,No,No
Lachnospiraceae,Lachnobacterium,-0.0734,-0.0174,0.336,0.00898,-0.218,-1.94,0.827,0.0529,0.888,0.128,No,No
Lachnospiraceae,Lachnospira,-0.537,-0.00112,0.37,0.011,-1.45,-0.102,0.147,0.919,0.381,0.952,No,No
Lachnospiraceae,Oribacterium,0.547,-0.00769,0.359,0.00992,1.52,-0.775,0.128,0.439,0.381,0.592,No,No
Lachnospiraceae,Roseburia,0.134,0.00541,0.248,0.00673,0.541,0.804,0.589,0.421,0.756,0.592,No,No
Ruminococcus,Ruminococcus,0.0104,5.81e-4,0.205,0.00528,0.0507,0.11,0.96,0.912,0.979,0.952,No,No
Peptococcaceae,Peptococcus,0.524,-0.0203,0.355,0.00982,1.47,-2.07,0.14,0.0383,0.381,0.101,No,No
Peptococcaceae,rc4-4,-0.319,-0.02,0.208,0.00556,-1.53,-3.6,0.125,3.16e-4,0.381,0.00458,No,No
Ruminococcaceae,Butyricicoccus,-0.638,-0.00925,0.256,0.00705,-2.49,-1.31,0.0127,0.189,0.152,0.355,No,No
Ruminococcaceae,Faecalibacterium,0.0973,0.00289,0.184,0.00538,0.53,0.537,0.596,0.591,0.756,0.697,No,No
Ruminococcaceae,Gemmiger,0.158,0.00657,0.28,0.00758,0.566,0.867,0.571,0.386,0.756,0.592,No,No
Ruminococcaceae,Oscillospira,0.152,0.00404,0.188,0.00474,0.808,0.853,0.419,0.394,0.702,0.592,No,No
Veillonellaceae,Acidaminococcus,0.204,-0.0256,0.386,0.0109,0.528,-2.35,0.598,0.0186,0.756,0.0567,No,No
Veillonellaceae,Dialister,0.176,0.0244,0.483,0.0135,0.363,1.81,0.716,0.0709,0.799,0.158,No,No
Veillonellaceae,Megasphaera,0.173,0.00781,0.477,0.0128,0.363,0.61,0.717,0.542,0.799,0.669,No,No
Veillonellaceae,Mitsuokella,0.228,0.00683,0.453,0.0131,0.504,0.523,0.615,0.601,0.756,0.697,No,No
Veillonellaceae,Phascolarctobacterium,-0.199,-4.45e-4,0.377,0.0106,-0.529,-0.0419,0.597,0.967,0.756,0.967,No,No
Veillonellaceae,Veillonella,-0.191,-0.0198,0.202,0.00592,-0.946,-3.35,0.344,8.13e-4,0.689,0.00785,No,No
Erysipelotrichaceae,[Eubacterium],0.682,0.0223,0.32,0.00813,2.13,2.74,0.0331,0.00612,0.227,0.0273,No,No
Erysipelotrichaceae,Bulleidia,0.767,0.0108,0.345,0.00946,2.22,1.14,0.0262,0.255,0.217,0.449,No,No
Erysipelotrichaceae,Catenibacterium,0.962,0.034,0.476,0.0139,2.02,2.45,0.043,0.0142,0.227,0.0493,No,No
Erysipelotrichaceae,Coprobacillus,-0.13,-0.0211,0.189,0.0056,-0.684,-3.76,0.494,1.67e-4,0.743,0.00323,No,No
Erysipelotrichaceae,Holdemania,0.0888,-0.00576,0.193,0.00537,0.461,-1.07,0.645,0.284,0.763,0.47,No,No
Erysipelotrichaceae,p-75-a5,0.102,-0.0152,0.209,0.00556,0.488,-2.72,0.626,0.00645,0.756,0.0273,No,No
Alcaligenaceae,Sutterella,-0.236,-0.02,0.331,0.0101,-0.712,-1.97,0.476,0.0484,0.743,0.122,No,No
Oxalobacteraceae,Oxalobacter,-0.127,-0.0154,0.222,0.00698,-0.572,-2.21,0.567,0.0272,0.756,0.0751,No,No
Desulfovibrionaceae,Bilophila,-0.403,0.00688,0.341,0.0103,-1.18,0.666,0.237,0.506,0.572,0.638,No,No
Desulfovibrionaceae,Desulfovibrio,-0.266,-0.0122,0.393,0.0111,-0.676,-1.1,0.499,0.27,0.743,0.461,No,No
Succinivibrionaceae,Succinivibrio,-0.292,-0.00885,0.56,0.0157,-0.522,-0.562,0.602,0.574,0.756,0.694,No,No
Pasteurellaceae,Haemophilus,-0.326,-0.0185,0.202,0.00547,-1.62,-3.38,0.106,7.35e-4,0.381,0.00785,No,No
Verrucomicrobiaceae,Akkermansia,-0.405,-0.0198,0.418,0.0128,-0.969,-1.55,0.333,0.122,0.689,0.243,No,No
NA,Unknown,-0.00528,-0.00322,0.111,0.00283,-0.0477,-1.14,0.962,0.256,0.979,0.449,No,No
